Round, Max Amount, Rolls Played
554, 1893, 39301,
555, 548, 481,
556, 2155, 20330,
557, 1673, 13728,
558, 561, 845,
559, 3171, 45589,
560, 608, 2020,
561, 500, 1580,
562, 1204, 4287,
563, 564, 982,
564, 1460, 17416,
565, 1711, 22332,
566, 563, 2196,
567, 626, 2344,
568, 887, 10220,
569, 510, 460,
570, 778, 3612,
571, 544, 1435,
572, 2002, 42882,
573, 2345, 21573,
574, 545, 796,
575, 514, 948,
576, 633, 1676,
577, 714, 8307,
578, 1475, 14160,
579, 1607, 8672,
580, 643, 3246,
581, 1130, 4801,
582, 791, 3872,
583, 1965, 28168,
584, 1794, 23497,
585, 736, 1562,
586, 1323, 7955,
587, 1508, 11183,
588, 568, 3104,
589, 703, 3661,
590, 3570, 91495,
591, 3775, 46543,
592, 546, 1565,
593, 689, 1926,
594, 523, 861,
595, 679, 3408,
596, 745, 2163,
597, 830, 4558,
598, 1085, 3064,
599, 1827, 29319,
600, 2798, 121259,
601, 1360, 12715,
602, 3949, 151164,
603, 652, 4232,
604, 715, 1032,
605, 1076, 4752,
606, 730, 1920,
607, 2057, 36216,
608, 866, 2690,
609, 1636, 10840,
610, 1998, 25433,
611, 706, 1442,
612, 1280, 5520,
613, 969, 6456,
614, 715, 5754,
615, 2546, 33343,
616, 1068, 8043,
617, 984, 7009,
618, 3696, 78448,
619, 897, 7719,
620, 500, 711,
621, 984, 2768,
622, 740, 4838,
623, 1196, 9896,
624, 947, 3112,
625, 1840, 21671,
626, 764, 1527,
627, 1162, 7509,
628, 898, 2720,
629, 3282, 82078,
630, 1330, 32593,
631, 503, 610,
632, 3443, 65504,
633, 1342, 10879,
634, 2349, 24366,
635, 1693, 15151,
636, 795, 2115,
637, 645, 708,
638, 561, 1240,
639, 864, 2383,
640, 950, 4922,
641, 1109, 5260,
642, 662, 3896,
643, 630, 1817,
644, 568, 824,
645, 500, 300,
646, 682, 4869,
647, 874, 2702,
648, 629, 3133,
649, 773, 1742,
650, 1706, 9465,
651, 2780, 48606,
652, 681, 1110,
653, 518, 296,
654, 1209, 6335,
655, 1120, 7363,
656, 1534, 21493,
657, 872, 2052,
658, 797, 1924,
659, 907, 7037,
660, 599, 1479,
661, 1308, 19495,
662, 1010, 7003,
663, 927, 3768,
664, 2916, 44008,
665, 3142, 27499,
666, 4062, 60733,
667, 790, 3585,
668, 1339, 12306,
669, 646, 2447,
670, 527, 635,
671, 869, 3523,
672, 3795, 47015,
673, 685, 1228,
674, 1092, 8206,
675, 640, 1832,
676, 610, 503,
677, 1121, 7669,
678, 757, 4659,
679, 1172, 6064,
680, 778, 1816,
681, 618, 608,
682, 931, 2339,
683, 890, 1995,
684, 503, 1358,
685, 1165, 3809,
686, 1317, 15912,
687, 1195, 5225,
688, 507, 439,
689, 882, 2385,
690, 506, 565,
691, 750, 3474,
692, 826, 3759,
693, 945, 6664,
694, 742, 1988,
695, 925, 6424,
696, 588, 2465,
697, 1053, 9865,
698, 955, 2489,
699, 711, 6065,
700, 936, 2978,
701, 776, 4103,
702, 528, 816,
703, 535, 388,
704, 883, 5395,
705, 944, 6417,
706, 657, 1610,
707, 1075, 4046,
708, 705, 847,
709, 744, 1780,
710, 667, 1710,
711, 725, 5558,
712, 877, 7679,
713, 717, 2277,
714, 518, 777,
715, 828, 1622,
716, 774, 1777,
717, 523, 754,
718, 983, 10037,
719, 837, 1950,
720, 1507, 20468,
721, 696, 2405,
722, 1918, 22213,
723, 530, 479,
724, 1275, 10531,
725, 1619, 13681,
726, 513, 589,
727, 503, 798,
728, 1452, 6494,
729, 883, 6676,
730, 563, 1873,
731, 809, 2363,
732, 1103, 5115,
733, 2839, 53350,
734, 674, 865,
735, 3992, 100383,
736, 929, 6062,
737, 658, 1361,
738, 608, 1745,
739, 1335, 9491,
740, 857, 4225,
741, 750, 3468,
742, 2011, 26891,
743, 615, 1466,
744, 561, 1558,
745, 1260, 7597,
746, 1458, 8244,
747, 716, 2718,
748, 1346, 12378,
749, 1270, 9201,
750, 500, 547,
751, 602, 1207,
752, 849, 3178,
753, 2235, 30171,
754, 3104, 52402,
755, 4259, 55464,
756, 2156, 15383,
757, 548, 403,
758, 1779, 10532,
759, 2225, 38072,
760, 531, 1322,
761, 500, 757,
762, 1476, 14774,
763, 3107, 59489,
764, 510, 802,
765, 4138, 79702,
766, 512, 517,
767, 799, 1466,
768, 507, 1599,
769, 2397, 26466,
770, 871, 2495,
771, 2623, 37588,
772, 500, 660,
773, 687, 1614,
774, 672, 2546,
775, 846, 4307,
776, 936, 4742,
777, 739, 3001,
778, 606, 383,
779, 4091, 74936,
780, 3135, 23378,
781, 1392, 11192,
782, 758, 1077,
783, 3003, 86617,
784, 1426, 27836,
785, 659, 921,
786, 557, 819,
787, 994, 3215,
788, 1565, 10998,
789, 888, 2042,
790, 1436, 4431,
791, 2852, 25146,
792, 709, 2401,
793, 1183, 5393,
794, 686, 1535,
795, 693, 2329,
796, 2973, 60907,
797, 618, 2181,
798, 1089, 9813,
799, 1910, 17513,
800, 1855, 22816,
801, 1468, 17199,
802, 1593, 13242,
803, 1521, 19628,
804, 740, 2690,
805, 884, 7398,
806, 691, 2712,
807, 1657, 9856,
808, 1778, 13539,
809, 3683, 62669,
810, 1660, 35517,
811, 1250, 8823,
812, 1305, 6624,
813, 1067, 7469,
814, 1007, 6127,
815, 1477, 11868,
816, 794, 2642,
817, 1022, 8960,
818, 570, 1482,
819, 767, 4224,
820, 4876, 112114,
821, 1171, 3974,
822, 1175, 12956,
823, 1309, 3030,
824, 565, 1177,
825, 3991, 95164,
826, 697, 1406,
827, 640, 3706,
828, 1292, 10278,
829, 602, 1239,
830, 2565, 16833,
831, 616, 1249,
832, 3184, 63177,
833, 787, 1751,
834, 658, 1047,
835, 1121, 5126,
836, 1390, 4339,
837, 909, 2216,
838, 979, 8500,
839, 1569, 4741,
840, 593, 1080,
841, 1801, 9919,
842, 1202, 5303,
843, 1815, 27829,
844, 842, 1629,
845, 642, 2117,
846, 668, 1970,
847, 840, 1214,
848, 971, 4748,
849, 500, 690,
850, 2937, 26007,
851, 1153, 12239,
852, 1126, 6255,
853, 1036, 5860,
854, 551, 768,
855, 586, 1360,
856, 1348, 12538,
857, 2227, 23431,
858, 603, 552,
859, 3590, 96193,
